,Desarrollo,Entrega,Dirección,Cantidad de unidades,Master Broker
1,120 Midtown,Inmediata,Av. 120 y calle 3,15,MAYA OCEAN
1,953 Studio,Inmediata,Av. 95 con Calle 3,35,INGARPRO
1,1540,SUSPENDIDO,Av. 15 con Calle 40,24,
1,Acento Playa,Inmediata,Av. 15 entre Calle 38 y Calle 40,6,BOZATI INMOBILIARIA
1,Agama,,Av 10 con Calle 24,,KAUA
1,Ahal,Pendiente,Av. 15 entre Calle 42 y Calle 40,,MAYA OCEAN
1,Akbal,Pendiente,Ciudad Mayakobá,11,
1,Alaia,Inmediata,Calle 44 entre Av. 25 y Av. 30,7,TOPBROKERS
1,Aldea Paraíso,Diciembre-2021,Playa Paraíso,20,SSL DESARROLLOS
1,Aldea Prestige,Inmediata,El Cielo,14,EVOKE INTERNATIONAL
1,Aldea Serena,Inmediata,Detrás de Centro Maya,52,GRUPO VELAS
1,Aleda,Pendiente,Detrás de Centro Maya,84,CITRIC
1,Allegranza ,Inmediata,Detrás de Centro Maya,188,KAUA
1,Altos Ciudad Mayakoba,Cancelado,Ciudad Mayakoba,,
1,Amaité,Inmediata,Calle 3 bis entre Av. 40 y 45,11,CITRIC
1,Amaya,Diciembre-2021,Calle 2 Nte entre Av 110 y Av 115,21,COLORADO GROUP
1,Anah La Quinta,Pendiente,5ta Av. con Calle 42,27,ANAH
1,Arcos Bambú,Pendiente,Avenida Arco Vial ,189,TOP MEXICO
1,Arenis,Inmediata,Av 25 entre 6 y 6 BIS,50,DESUR
1,Aria Playacar,Inmediata,Playacar Fase II,6,
1,Aurora Living,Pendiente,Calle 8 entre Av 30 y Av 35,,
1,Awa,Fase 1: Inmediata,Playacar Fase II,76,AWA
1,B10 ,Pendiente,Calle 10 bis entre Av 15 y Av 20,10,
1,Bahay,Inmediata,Calle 42 entre 1ra y Cozumel,36,KAUA
1,Bali Lifestyle,Inmediata,Zona Bali,300,BALI
1,Bamoa Golf,Diciembre-2021,Playacar Fase II,45,BAMOA
1,Bamoa Playacar,Inmediata,Playacar Fase II,51,BAMOA
1,Beel 19,Abril-2021,Calle 19 sur con Av. 95,16,IMMO
1,Believe ,Inmediata,Av. 40 Y Calle 20,22,RD
1,Black Tower,Pendiente,Calle 11 sur y Diagonal 70,21,SSL DESARROLLOS
1,Blanko Living,Marzo-2022,Calle 58 entre 5ta y Av 10,22,PDC PROPERTIES
1,Bonanza Living,Pendiente,Cerrada Uva del Mar lote 19 Selvamar,6,JV DESARROLLOS
1,Casa Tzonot,Inmediata,Calle 7 Sur entre Av65 y Av70,16,
1,Casas Urban Senderos,Ondemand,Senderos de Mayakoba,,URBAN HOUSE
1,Ceiba at 25,Verano-2023,Av 25 con calle 30,92,SIMCA
1,Central Park Quintas,Dic-2021,Calle 24 entre Av 10 y Av 20,38,HH LUXURY
1,Centuria 15 Bis,Inmediata,Av. 15 Bis entre Calles 38 y 40,16,CASAS FONSECA
1,Ceren,Mayo-2022,Av. CTM entre 5ta Av y 1ra Av,,COLDWELL BANKER
1,Coco Beach,Marzo-2023,Av 1era con Calle 42,50,MENESSE
1,Condo Taak,Fase 1:Dic-2020,Detrás de Centro Maya,30,iMEXICO
1,Corasol - Costa Residences,Diciembre 2021,Corasol,,ORIGINA
1,Corasol - Palm Villas,On Demand,Corasol,,ORIGINA
1,Corasol - The Village,Fase 1: Nov-2021,Corasol,,ORIGINA
1,Cosmo 42,Marzo-2021,Calle 42 entre Av. 20 y Av. 25,19,PDC PROPERTIES
1,Cruz con mar,Inmediata,Calle 32 con mar,60,SIMCA
1,Distrito Corazón,Inmediata,Calle 14 entre Av. 10 y 5ta,32,GRUPO TSALACH
1,DK 05,Inmediata,Calle 48 entre 5ta y 10,14,DK
