,Desarrollo,Entrega,Dirección,Cantidad de,Master Broker
1,Amena,Inmediata,Region 15,24,RIVIERA MORADA
1,Blue Luxury Kukulcan,Inmediata,Region 15,,WALDIR
1,Cacao,Inmediata,La Veleta,54,ONE PRIME
1,Condos 8,Inmediata,La Veleta,20,BRM
1,Copal,Inmediata,Aldea Zama,56,ATACAMA RIVIERA
1,Cordelia,Inmediata,Region 15,14,CORDELIA
1,HI Tulum,Inmediata,La Veleta,,PAULA CABAL
1,Kolo,Inmediata,Riviera Tulum,54,KOLO
1,Mak,Inmediata,Aldea Zama,12,MAK TULUM
1,Naab,Inmediata,Region 15,14,JUNGLE REALTORS
1,Naj Kiin,Inmediata,Aldea Zama,16,IMMO
1,Nuuch,Inmediata,Luum Zama,10,IMMO
1,Saasil II,Inmediata,La Veleta,19,TSALACH
1,Santos,Inmediata,Aldea Zama,12,AMERICA VEGA
1,Sessile,Inmediata,Aldea Zama,10,COLDWELL BANKER
1,Sundara,Inmediata,Aldea Zama Premium,20,DREAM HOUSES
1,Yaam,Inmediata,Aldea Zama Premium,,AMORAMAR
1,525 Tulum,Marzo-2021,Region 15,SOLD OUT,
1,A-Nah Hunab,Torre Sur: Dic2021,Av. Cobá,80,ANAH
1,AAK,Agosto-2022,Region 15 Mza 133,30,ORLIMANUEL
1,Acinté,Inmediata,Region 15,SOLD OUT,MAX PROPERTIES
1,Adora,Febrero-2022,Region 15,79,ONE PRIME 
1,Aflora,Fase 1: Nov-2022,Aldea Zama,199,ONE PRIME 
1,AguaSanta,Inmediata,Aldea Zama Premium,9,MEXARK
1,AguaSanta Vibe,Inmediata,Aldea Zama Premium,6,MEXARK
1,AguilaSol Luxury,SUSPENDIDO,Region 15,10,
1,Aktal,Marzo-2021,Region 15,8,
1,Akua,Abril-2023,Aldea Zama Premium,45,MAX PROPERTIES
1,Alaya,CANCELADO,Luum Zama,11,CORE MB
1,Aldea Savia,Fase 1: Oct-2021,Region 5,,ONIX HOLDINGS
1,AldeaBlu,Febrero-2021,Aldea Zama,5,MAX PROPERTIES
1,Allegro,Marzo-2022,La Veleta,11,DREAM HOUSES
1,Aloha Tulum,SUSPENDIDO,,,
1,Altar,Pendiente,La Veleta,,
1,Amaka Calma,Inmediata,La Veleta,18,GRUPO TECA
1,Amana,Diciembre-2022,Av. Coba,204,TSALACH
1,AmarTulum,Faee 1: Nov-2021,Region 12,12,ILIANA RAMIREZ
1,Amaya,Inmediata,Aldea Zama,10,
1,Amelia,Septiembre-2021,Aldea Zama,38,CITRIC
1,Amira District,Pendiente,Selva Zama,54,GIADA
1,Ananas,Pendiente,La Veleta,,THE MAYAN KINGDOM
1,Aria,Pendiente,Region 11,44,
1,Arcadia,Agosto-2021,Aldea Zama,20,GUACAMAYA ESTUDIOS
1,Arecas,Pendiente,Region 5,2,
1,Arthouse,Marzo-2022,Aldea Zama,,KELMAN
1,Artila Tulum,Pendiente,La Veleta,,ARTILA
1,Aru,Inmediata,Aldea Zama,8,LOS SOCIOS
1,Aruma,Julio-2021,Region 15,10,THE AGENCY CANCUN
1,Aruna,Mayo-2021,Region 15,27,NEOTERRE
1,Asana,Inmediata,La Veleta,10,LOTUS
1,Asana Leaf,Pendiente,La Veleta,10,LOTUS
1,Atipika,Marzo-2022,Region 15,10,INGUZ
1,Atman,Fase 1: Dic-2021,Region 15,,iMEXICO
